date,current,open,high,low,volume,trade_volume
20200903,197,197,197,197,0,0
20200902,197,197,197,197,0,0
20200901,197,197,197,197,0,0
20200831,197,197,197,197,0,0
20200828,197,197,197,197,0,0
20200827,197,197,197,197,0,0
20200826,197,197,197,197,0,0
20200825,197,197,197,197,0,0
20200824,197,197,197,197,0,0
20200821,197,197,197,197,0,0
20200820,197,197,197,197,0,0
20200819,197,197,197,197,0,0
20200818,197,197,197,197,0,0
20200814,197,197,197,197,0,0
20200813,197,197,197,197,0,0
20200812,197,197,197,197,0,0
20200811,197,197,197,197,0,0
20200810,197,197,197,197,0,0
20200807,197,197,197,197,0,0
20200806,197,197,197,197,0,0
20200805,197,197,197,197,0,0
20200804,197,197,197,197,0,0
20200803,197,197,197,197,0,0
20200731,197,197,197,197,0,0
20200730,197,197,197,197,0,0
20200729,197,197,197,197,0,0
20200728,197,197,197,197,0,0
20200727,197,197,197,197,0,0
20200724,197,197,197,197,0,0
20200723,197,197,197,197,0,0
20200722,197,197,197,197,0,0
20200721,197,197,197,197,0,0
20200720,197,197,197,197,0,0
20200717,197,197,197,197,0,0
20200716,197,197,197,197,0,0
20200715,197,197,197,197,0,0
20200714,197,197,197,197,0,0
20200713,197,197,197,197,0,0
20200710,197,197,197,197,0,0
20200709,197,197,197,197,0,0
20200708,197,197,197,197,0,0
20200707,197,197,197,197,0,0
20200706,197,197,197,197,0,0
20200703,197,197,197,197,0,0
20200702,197,197,197,197,0,0
20200701,197,197,197,197,0,0
20200630,197,197,197,197,0,0
20200629,197,197,197,197,0,0
20200626,197,197,197,197,0,0
20200625,197,197,197,197,0,0
20200624,197,197,197,197,0,0
20200623,197,197,197,197,0,0
20200622,197,197,197,197,0,0
20200619,197,197,197,197,0,0
20200618,197,197,197,197,0,0
20200617,197,197,197,197,0,0
20200616,197,197,197,197,0,0
20200615,197,197,197,197,0,0
20200612,197,197,197,197,0,0
20200611,197,197,197,197,0,0
20200610,197,197,197,197,0,0
20200609,197,197,197,197,0,0
20200608,197,197,197,197,0,0
20200605,197,197,197,197,0,0
20200604,197,197,197,197,0,0
20200603,197,197,197,197,0,0
20200602,197,197,197,197,0,0
20200601,197,197,197,197,0,0
20200529,197,197,197,197,0,0
20200528,197,197,197,197,0,0
20200527,197,197,197,197,0,0
20200526,197,197,197,197,0,0
20200525,197,197,197,197,0,0
20200522,197,197,197,197,0,0
20200521,197,197,197,197,0,0
20200520,197,197,197,197,0,0
20200519,197,197,197,197,0,0
20200518,197,197,197,197,0,0
20200515,197,197,197,197,0,0
20200514,197,197,197,197,0,0
20200513,197,197,197,197,0,0
20200512,197,197,197,197,0,0
20200511,197,197,197,197,0,0
20200508,197,197,197,197,0,0
20200507,197,197,197,197,0,0
20200506,197,197,197,197,0,0
20200504,197,197,197,197,0,0
20200429,197,197,197,197,0,0
20200428,197,197,197,197,0,0
20200427,197,197,197,197,0,0
20200424,197,197,197,197,0,0
20200423,197,197,197,197,0,0
20200422,197,197,197,197,0,0
20200421,197,197,197,197,0,0
20200420,197,197,197,197,0,0
20200417,197,197,197,197,0,0
20200416,197,197,197,197,0,0
20200414,197,197,197,197,0,0
20200413,197,197,197,197,0,0
20200410,197,197,197,197,0,0
20200409,197,197,197,197,0,0
20200408,197,197,197,197,0,0
20200407,197,197,197,197,0,0
20200406,197,197,197,197,0,0
20200403,197,197,197,197,0,0
20200402,197,197,197,197,0,0
20200401,197,197,197,197,0,0
20200331,197,197,197,197,0,0
20200330,197,197,197,197,0,0
20200327,197,197,197,197,0,0
20200326,197,197,197,197,0,0
20200325,197,197,197,197,0,0
20200324,197,197,197,197,0,0
20200323,197,208,208,185,383904,74
20200320,214,184,218,184,712806,145
20200319,191,215,241,175,869929,181
20200318,225,238,257,225,273907,66
20200317,244,250,252,217,1450003,336
20200316,255,294,317,255,962896,273
20200313,304,350,352,290,1295556,418
20200312,360,393,393,359,681438,251
20200311,388,400,407,385,471440,186
20200310,400,399,404,388,270710,108
20200309,401,415,415,391,399054,159
20200306,416,427,427,412,121403,50
20200305,418,410,426,405,327829,137
20200304,408,398,408,398,270059,109
20200303,402,407,416,402,129585,53
20200302,404,404,404,395,92851,37
